leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1962,Union of Soviet Socialist Republics,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Romania,9827,Gheorghe Eckstein,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Romania,9826,Aleksandru Buimovici,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Romania,9829,George Lusztig,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Romania,9828,Lucian Bădescu,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Romania,9825,Florea Hantila,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Romania,9830,Radu Puha,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Czechoslovakia,9810,Peter Hatala,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Czechoslovakia,9811,Jaroslav Ježek,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Czechoslovakia,9809,Josef Daneš,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Czechoslovakia,9812,Karel Veselý,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Czechoslovakia,16167,Pavol Voda,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Czechoslovakia,16168,Jan Novotný,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Czechoslovakia,16169,Marián Mešina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Czechoslovakia,16170,Svatopluk Fučík,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Poland,9822,Marcin Kuczma,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Poland,9824,Jacek Wołejszo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Poland,9823,Jan Rempała,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Poland,9821,Ewa Hensz,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Poland,15909,Jan Żytkow,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Poland,15906,Paweł Gabryjańczyk,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Poland,15908,Paweł Urbański,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Poland,15907,Jerzy Sztachelski,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Bulgaria,9807,Bojan Marinov Bonev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Bulgaria,9806,Miroslav Svetoslav Tanusev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Bulgaria,9808,Bozidar Dimitrov Kacarov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Bulgaria,16145,Nikola Vedelev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Bulgaria,16146,Milena Ivanova,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Bulgaria,16584,Dimitr Kasabov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Bulgaria,16147,Dimco Dimitrov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Bulgaria,16148,Garabed Minasiev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,9813,Karl-Heinz Tetsch,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,12782,Walter Görgens,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
