leto,gostiteljica,država,leader,deputy leader
2004,Greece,Austria,Thomas Mühlgassner,Robert Geretschläger
2004,Greece,Norway,Finn Holme,Anders Hoyer Berg
2004,Greece,Netherlands,Jan Donkers,Fokko van de Bult
2004,Greece,Turkmenistan,Saim Avinca,Erol Aslan
2004,Greece,Cyprus,Andreas Philippou,Theoklitos Paragyiou
2004,Greece,Finland,Matti Lehtinen,Anne-Maria Ernvall
2004,Greece,Peru,Emilio Gonzaga,Enrique Pineyro
2004,Greece,Ireland,Finbarr Holland,Gordon Lessells
2004,Greece,Uruguay,Ariel Affonso Varela,Luis Komornik
2004,Greece,Denmark,Jens-Søren Kjær Andersen,Anders Schack-Nielsen
2004,Greece,Puerto Rico,José Santos-García,Guihua Gong
2004,Greece,Bosnia and Herzegovina,Senada Kalabusic,Zeljko Potkonjak
2004,Greece,Luxembourg,Charles Leytem,Pascal Zeihen
2004,Greece,Iceland,Kari Ragnarsson,Audun Saemundsson
2004,Greece,Malaysia,Abu Osman Md Tap,Mohammad Alinor Abdul Kadir
2004,Greece,Sri Lanka,Chanakya Janak Wijeratne,Udita Nalin Katugampola
2004,Greece,Tunisia,Jaafar Beni Yazid,Taoufic Charrada
2004,Greece,Trinidad and Tobago,Indra Haraksingh,Steven Khan
2004,Greece,Portugal,Julio Severino Neves,Daniel Pinto
2004,Greece,Cuba,Raoul Ochoa Rojas,
2004,Greece,Philippines,Jose Abril Marasigan,Winfer Tabares
2004,Greece,Venezuela,Rafael Sánchez,Tomas Kabbabe
2004,Greece,Ecuador,Vicente Torres Alvarez,Jorge Chamaidan
2004,Greece,Mozambique,Ismael Cassamo Nheze,Luis Do Nascimento Paulo
2004,Greece,Paraguay,Gabriela Gomez Pasquali,Diana Gimenez De Von Lucken
2004,Greece,Kuwait,Ramadhan Dashti,Salem Al-Duwaihees
2004,Greece,Saudi Arabia,Ali Alsharif,Abdullah Aljouiee
2005,Mexico,People's Republic of China,,
2005,Mexico,United States of America,,
2005,Mexico,Russian Federation,Nazar Agakhanov,
2005,Mexico,Islamic Republic of Iran,Arash Rastegar,Omid Naghshineh Arimand
2005,Mexico,Republic of Korea,,
2005,Mexico,Romania,Radu Gologan,Bogdan Enescu
2005,Mexico,Taiwan,,
2005,Mexico,Japan,,
2005,Mexico,Hungary,József Pelikán,Sándor Dobos
2005,Mexico,Ukraine,,
2005,Mexico,Bulgaria,Emil Kolev,Nikolay Nikolov
2005,Mexico,Germany,,
2005,Mexico,United Kingdom,Geoff Smith,Adrian Sanders
2005,Mexico,Singapore,Tiong Seng Tay,Yi Huat Koh
2005,Mexico,Vietnam,,
2005,Mexico,Czech Republic,Karel Horák,Jaromír Šimša
2005,Mexico,Hong Kong,Chi Hin Lau,Wai Hoi Bobby Poon
2005,Mexico,Belarus,,
2005,Mexico,Canada,Felix Recio,Dorette Pronk
2005,Mexico,Slovakia,Vojtech Bálint,Ján Mazák
2005,Mexico,Republic of Moldova,Marcel Teleucă,Valentina Ceapa
2005,Mexico,Turkey,Okan Tekman,Azer Kerimov
2005,Mexico,Thailand,Wicharn Lewkeeratiyutkul,Nattaphan Kittisin
2005,Mexico,Italy,,
2005,Mexico,Australia,Angelo Di Pasquale,Norman Do
2005,Mexico,Kazakhstan,,
2005,Mexico,Colombia,,
2005,Mexico,Poland,Waldemar Pompe,Adam Osękowski
2005,Mexico,Peru,,
2005,Mexico,Israel,Shay Gueron,Shoni Dar
2005,Mexico,Mexico,,
2005,Mexico,France,,
2005,Mexico,Armenia,,
2005,Mexico,Brazil,,
2005,Mexico,Croatia,Ilko Brnetić,Mea Bombardelli
2005,Mexico,India,,
2005,Mexico,Georgia,,
2005,Mexico,New Zealand,,
2005,Mexico,Serbia and Montenegro,,
2005,Mexico,Austria,,
2005,Mexico,Belgium,,
2005,Mexico,Indonesia,,
2005,Mexico,Switzerland,,
2005,Mexico,Denmark,Max Petersen,Thomas Kragh
2005,Mexico,Estonia,,
2005,Mexico,Argentina,,
2005,Mexico,Latvia,,
2005,Mexico,Netherlands,Jan Donkers,Fokko van de Bult
2005,Mexico,Azerbaijan,,
2005,Mexico,Greece,Efstratios Rappos,Dimitrios Kontogiannis
2005,Mexico,Ireland,James Cruickshank,Gordon Lessells
2005,Mexico,Cuba,,
2005,Mexico,Lithuania,,
2005,Mexico,North Macedonia,,
2005,Mexico,Bosnia and Herzegovina,,
2005,Mexico,Finland,Matti Lehtinen,Lauri Hallila
2005,Mexico,Slovenia,Gregor Dolinar,Matjaž Željko
2005,Mexico,Kyrgyzstan,,
2005,Mexico,Spain,María Gaspar Alonso-Vega,Marco Castrillón López
2005,Mexico,Albania,,
2005,Mexico,Sweden,,
2005,Mexico,South Africa,Nic Heideman,David Hatton
2005,Mexico,Macau,Ieng Tak Leong,Lung Yam Wan
2005,Mexico,Norway,,
2005,Mexico,Costa Rica,,
2005,Mexico,Uruguay,,
2005,Mexico,Sri Lanka,Chanakya Janak Wijeratne,Udita Nalin Katugampola
2005,Mexico,Philippines,,
2005,Mexico,Portugal,Joana Teles,António Salgueiro
2005,Mexico,El Salvador,,
2005,Mexico,Iceland,,
2005,Mexico,Morocco,,
2005,Mexico,Turkmenistan,,
2005,Mexico,Ecuador,,
2005,Mexico,Malaysia,,
2005,Mexico,Venezuela,,
2005,Mexico,Cyprus,,
2005,Mexico,Trinidad and Tobago,,
2005,Mexico,Paraguay,,
2005,Mexico,Pakistan,,
2005,Mexico,Tunisia,,
2005,Mexico,Puerto Rico,,
2005,Mexico,Guatemala,,
2005,Mexico,Liechtenstein,,
2005,Mexico,Bangladesh,,
2005,Mexico,Kuwait,,
2005,Mexico,Luxembourg,Charles Leytem,Pascal Zeihen
2005,Mexico,Saudi Arabia,,
2005,Mexico,Tajikistan,,
2005,Mexico,Mozambique,,
2005,Mexico,Bolivia,,
2006,Slovenia,People's Republic of China,Shenghong Li,Gangsong Leng
2006,Slovenia,Russian Federation,Nazar Agakhanov,Pavel Kozhevnikov
2006,Slovenia,Republic of Korea,Yongjin Song,Byeong Kweon Oh
2006,Slovenia,Germany,Hans-Dietrich Gronau,Christian Reiher
2006,Slovenia,United States of America,Zuming Feng,Alex Saltman
2006,Slovenia,Romania,Radu Gologan,Mariean Andronache
2006,Slovenia,Japan,Yuji Odaka,Yoshimasa Watanabe
2006,Slovenia,Islamic Republic of Iran,Arash Rastegar,Bahman Eslahpazir Esfandabad
2006,Slovenia,Republic of Moldova,Vladimir Izbaş,Anatolie Topală
2006,Slovenia,Taiwan,Sen-Peng Eu,Wen-Liang Hung
2006,Slovenia,Poland,Waldemar Pompe,Adam Osękowski
2006,Slovenia,Italy,Roberto Dvornicich,Massimo Gobbino
2006,Slovenia,Vietnam,Hòa Vũ Đình,Hoàng Nguyễn Đức
2006,Slovenia,Hong Kong,Jor Ting Chan,Wai Hoi Bobby Poon
2006,Slovenia,Canada,Robert Morewood,Naoki Sato
2006,Slovenia,Thailand,Nattaphan Kittisin,Ajchara Harnchoowong
2006,Slovenia,Hungary,József Pelikán,Sándor Dobos
2006,Slovenia,Slovakia,Vojtech Bálint,Ján Mazák
2006,Slovenia,Turkey,Ali Doğanaksoy,Şahin Emrah
2006,Slovenia,United Kingdom,Geoffrey Smith,Ceridwyn Fiddes
2006,Slovenia,Bulgaria,Emil Kolev,Nikolai Nikolov
2006,Slovenia,Ukraine,Valentyn Leyfura,Olga Lytvynenko
2006,Slovenia,Belarus,Igor Voronovich,Sergei Mazanik
2006,Slovenia,Mexico,Radmila Bulajich Manfrino,Humberto Montalván Gámez
2006,Slovenia,Israel,Shay Gueron,Eran Assaf
2006,Slovenia,Australia,Angelo Di Pasquale,Norman Do
2006,Slovenia,Singapore,Tiong Seng Tay,Bock Boon Lim
2006,Slovenia,France,Claude Deschamps,Johan Yebbou
2006,Slovenia,Brazil,Luciano Guimarães Monteiro de Castro,Pablo Rodrigo Ganassim
2006,Slovenia,Argentina,Patricia Fauring,Flora Gutierrez
2006,Slovenia,Kazakhstan,Almaz Kungozhin,Zaure Amanova
2006,Slovenia,Switzerland,Lorenz Reichel,Thomas Huber
2006,Slovenia,Georgia,Larry Gogoladze,George Bareladze
2006,Slovenia,Lithuania,Juozas Juvencijus Macys,Romualdas Kašuba
2006,Slovenia,India,Venkatachala Belur Jana,Mahendra Datta
2006,Slovenia,Armenia,Garnik Tonoyan,Hamlet Martirosian
2006,Slovenia,Slovenia,Irena Majcen,Jernej Tonejc
2006,Slovenia,Serbia,Đorđe Dugošija,Đorđe Krtinić
2006,Slovenia,Finland,Matti Lehtinen,Anne-Maria Ernvall-Hytönen
2006,Slovenia,Peru,Emilio Gonzaga Ramírez,Ricardo Teodoro Siu Koochoy
2006,Slovenia,Bosnia and Herzegovina,Zenan Šabanac,Željko Potkonjak
2006,Slovenia,Austria,Thomas Mühlgassner,Walther Janous
2006,Slovenia,Sweden,Paul Vaderlind,Victor Ufnarovski
2006,Slovenia,Estonia,Härmel Nestra,Indrek Zolk
2006,Slovenia,Mongolia,Dashdorj Tserendorj,Bayarjargal Byambaa
2006,Slovenia,Spain,María José Gaspar Alonso-Vega,Marco Castrillón López
2006,Slovenia,Portugal,António Salgueiro,Jorge Manuel Sentieiro Neves
2006,Slovenia,Azerbaijan,Nazim Karimov,Rafig Guliyev
2006,Slovenia,Czech Republic,Jaroslav Švrček,Jaroslav Zhouf
2006,Slovenia,Albania,Fatmir Hoxha,Artur Baxhaku
2006,Slovenia,Colombia,Federico Ardila,María Elizabeth Losada
2006,Slovenia,Belgium,Bart Windels,Philippe Niederkorn
2006,Slovenia,Latvia,Agnis Andžāns,Juris Škuškovniks
2006,Slovenia,Croatia,Ilko Brnetić,Vjekoslav Kovač
2006,Slovenia,Sri Lanka,Chanakya Janak Wijeratne,Dayal Buddhika Dharmasena
2006,Slovenia,Greece,Theodoros Bolis,Dimitrios Kodokostas
2006,Slovenia,Uzbekistan,Shukhrat Ismailov,Abdurakhim Nasirov
2006,Slovenia,New Zealand,Michael Albert,Robin Christian
2006,Slovenia,Iceland,Kári Ragnarsson,Auðun Sæmundsson
2006,Slovenia,Macau,Ieng Tak Leong,Lung Yam Wan
2006,Slovenia,Turkmenistan,Erol Aslan,Shadurdy Meredov
2006,Slovenia,Netherlands,Quintijn Puite,Fokko van de Bult
2006,Slovenia,North Macedonia,Vesna Manova-Erakovik,Delčo Leškovski
2006,Slovenia,South Africa,Dirk Laurie,David Hatton
2006,Slovenia,Morocco,Abdelmoumen Mohammed El Rhezzali,My Ahmed Moussaoui
2006,Slovenia,Norway,Dávid Kunszenti Kovács,Børge Mikkelsen
2006,Slovenia,Ireland,Rachel Quinlan,Gordon Lessells
2006,Slovenia,Paraguay,Gabriela Gomez Pasquali,Carlos Eugenio Sauer Ayala
2006,Slovenia,Denmark,Thomas Kragh,Anders Schack-Nielsen
2006,Slovenia,Ecuador,Vicente Torres,Jorge Chamaidan
2006,Slovenia,Malaysia,Abu Osman Md Tap,Mat Rofa Ismail
2006,Slovenia,Tajikistan,Umed Karimov,Sukru Kavlu
2006,Slovenia,Trinidad and Tobago,Indra Haraksingh,Ousha Sinanan
2006,Slovenia,Venezuela,Rafael Sánchez,Laura Vielma
2006,Slovenia,Panama,Rogelio Rosas,
2006,Slovenia,Pakistan,Alla Ditta Choudary,Ahmad Mahmood Qureshi
2006,Slovenia,Kyrgyzstan,Buras Boljiev,Bekbolot Kanetov
2006,Slovenia,Costa Rica,Mario Alberto Marín Sánchez,Norma Adolio Cascante
2006,Slovenia,El Salvador,Carlos Mauricio Canjura Linares,Gerardo Enrique Zelaya Eufemia
2006,Slovenia,Bangladesh,Mahbubul Alam Majumder,A A Munir Hasan
2006,Slovenia,Cyprus,Andreas Philippou,Theoklitos Paragyiou
2006,Slovenia,Luxembourg,Charles Leytem,Hsu Ming-Koon
2006,Slovenia,Uruguay,Ariel Edgardo Affonso Varela,
2006,Slovenia,Nigeria,Samson Olatunji Ale,Oluwaniyi Steve Dele
2006,Slovenia,Puerto Rico,Luis Cáceres,Leida Negrón
2006,Slovenia,Bolivia,Jorge Raul Enriquez Cortez,Gualberto Arce Rodriguez
2006,Slovenia,Kuwait,Ramadhan Dashti,Salem Al-Duwaihees
2006,Slovenia,Saudi Arabia,Abdullah Alhuzali,Abdullah Aljouiiee
2006,Slovenia,Liechtenstein,Daniel Sprecher,Ana Dević
2006,Slovenia,Mozambique,Ismael Cassamo Nhêze,Luis de Nascimento Paulo
2007,Vietnam,Russian Federation,Nazar Agakhanov,Alexey Garber
2007,Vietnam,People's Republic of China,Gang-Song Leng,Hua-Wei Zhu
2007,Vietnam,Republic of Korea,Seunghun Yi,Yongjin Song
2007,Vietnam,Vietnam,Hòa Vũ Đình,Hoàng Nguyễn Đức
2007,Vietnam,United States of America,Zuming Feng,Ian Le
2007,Vietnam,Japan,Yuji Ito,Yuya Matsumoto
2007,Vietnam,Ukraine,Sergiy Torba,Nataliya Prokopenko
2007,Vietnam,Democratic People's Republic of Korea,Ham Yong Chol,Sin Se Hung
2007,Vietnam,Bulgaria,Emil Milanov Kolev,Nikolai Marinov Nikolov
2007,Vietnam,Taiwan,Sen-Peng Eu,Tien-Chung Hu
2007,Vietnam,Romania,Radu Gologan,Mihai Bălună
2007,Vietnam,Hong Kong,Jor Ting Chan,Chi Hin Lau
2007,Vietnam,Islamic Republic of Iran,Mohammad Reza Razvan,Omid Naghshineh Arjmand
2007,Vietnam,Thailand,Nattaphan Kittisin,Ajchara Harnchoowong
2007,Vietnam,Germany,Hans-Dietrich Gronau,Jürgen Prestin
2007,Vietnam,Hungary,József Pelikán,Sándor Dobos
2007,Vietnam,Turkey,Okan Tekman,Azer Kerimov
2007,Vietnam,Poland,Waldemar Pompe,Marcin Pilipczuk
2007,Vietnam,Belarus,Igor Voronovich,Sergei Mazanik
2007,Vietnam,Republic of Moldova,Valeriu Baltag,Vladimir Izbaş
2007,Vietnam,Italy,Roberto Dvornicich,Massimo Gobbino
2007,Vietnam,Australia,Angelo Di Pasquale,Norman Nam Van Do
2007,Vietnam,Serbia,Đorđe Krtinić,Dušan Đukić
2007,Vietnam,Brazil,Carlos Gustavo Tamm De Araujo Moreira,Onofre Campos Da Silva Farias
2007,Vietnam,India,Chudamani R Pranesachar,Udayan Maneklal Prajapati
2007,Vietnam,Georgia,Larry Gogoladze,George Bareladze
2007,Vietnam,Canada,Bill Sands,Adrian Tang
2007,Vietnam,Kazakhstan,Yerzhan Baissalov,Tildash Bituova
2007,Vietnam,United Kingdom,Geoff Smith,Ceridwyn Fiddes
2007,Vietnam,Colombia,Maria Losada,Pascual Restrepo
2007,Vietnam,Lithuania,Artūras Dubickas,Romualdas Kašuba
2007,Vietnam,Peru,Mariano Gonzalez,Jorge Tipe
2007,Vietnam,Greece,Anargyros Felouris,Georgios Dimakos
2007,Vietnam,Mongolia,Dashdorj Tserendorj,Sandagdorj Baldorj
2007,Vietnam,Uzbekistan,Shuhrat Ismailov,Shamsiddin Usanov
2007,Vietnam,Singapore,Tiong Seng Tay,Siew Tong Lee
2007,Vietnam,Mexico,Eugenia Liliana Radmila Bulajich,Rogelio Valdez
2007,Vietnam,Slovakia,Vojtech Bálint,Ján Mazák
2007,Vietnam,Slovenia,Gregor Dolinar,Irena Majcen
2007,Vietnam,Czech Republic,Jaromír Šimša,Jaroslav Švrček
2007,Vietnam,Sweden,Paul Vaderlind,Victor Ufnarovski
2007,Vietnam,Austria,Robert Geretschläger,Heinrich Josef Gstöttner
2007,Vietnam,France,Claude Deschamps,Johan Yebbou
2007,Vietnam,Norway,Dávid Kunszenti Kovács,Pål Hermunn Johansen
2007,Vietnam,Belgium,Bart Windels,Philippe Niederkorn
2007,Vietnam,Croatia,Željko Hanjš,Ilko Brnetić
2007,Vietnam,Argentina,Patricia Fauring,Flora Gutierrez
2007,Vietnam,Armenia,Garnik Tonoyan,Hamlet Martirosyan
2007,Vietnam,Macau,Ieng Tak Leong,Lung Yam Wan
2007,Vietnam,Israel,Shay Gueron,Shoni Dar
2007,Vietnam,New Zealand,Michael Albert,Heather Rose Macbeth
2007,Vietnam,Azerbaijan,Rafig Guliyev,Fuad Garayev
2007,Vietnam,Bosnia and Herzegovina,Muharem Avdispahić,Hasan Jamak
2007,Vietnam,Indonesia,Ahmad Muchlis,Hilda Assiyatun
2007,Vietnam,North Macedonia,Vesna Manova-Erakovik,Alekso Malcheski
2007,Vietnam,Netherlands,Quintijn Puite,Birgit van Dalen
2007,Vietnam,Estonia,Jan Villemson,Mart Abel
2007,Vietnam,Albania,Fatmir Hoxha,Artur Baxhaku
2007,Vietnam,Switzerland,Ana Devic,Thomas Huber
2007,Vietnam,Latvia,Juris Viksna,Juris Skuskovniks
2007,Vietnam,Finland,Matti Lehtinen,Anne-Maria Ernvall-Hytönen
2007,Vietnam,Portugal,Raquel Caseiro,Alexander Kovacec
2007,Vietnam,Ireland,James Cruickshank,Gordon Lessells
2007,Vietnam,Turkmenistan,Erol Aslan,
2007,Vietnam,Denmark,Anders Schack-Nielsen,Henrik Bindesbøll Nørregaard
2007,Vietnam,Spain,María José Gaspar Alonso-Vega,Ignasi Mundet Riera
2007,Vietnam,Kyrgyzstan,Buras Boljiev,Taalaibek Dyikanov
2007,Vietnam,South Africa,David Hatton,Jacobus van Zyl
2007,Vietnam,Cyprus,Andreas Philippou,Dimitrios Karantanos
2007,Vietnam,Trinidad and Tobago,Indra Haraksingh,Steven Khan
2007,Vietnam,Tajikistan,Umed Karimov,Erdal Eravci
2007,Vietnam,Costa Rica,Mario Alberto Marín Sánchez,
2007,Vietnam,Iceland,Fjóla Rún Björnsdóttir,Auðun Sæmundsson
2007,Vietnam,Ecuador,Vicente Torres,Jorge Chamaidan
2007,Vietnam,Luxembourg,Charles Leytem,Bernard Felten
2007,Vietnam,Malaysia,Jamaludin Md. Ali,Mohd Suhaimi Ramly
2007,Vietnam,El Salvador,Carlos Mauricio Canjura Linares,Riquelmi Salvador Cardona Fuentes
2007,Vietnam,Pakistan,Alla Ditta Choudary,Ahmad Mahmood Qureshi
2007,Vietnam,Paraguay,Gabriela Gomez Pasquali,Carlos Eugenio Sauer Ayala
2007,Vietnam,Bangladesh,Mahbub Alam Majumdar,A A Munir Hasan
2007,Vietnam,Morocco,El Rhezzali Abdelmoumen Med,Moussaoui My Ahmed
2007,Vietnam,Cambodia,Pheakdei Mauk,Rour Bun
2007,Vietnam,Sri Lanka,Chanakya Janak Wijeratne,Dayal Buddhika Dhamasena
2007,Vietnam,Philippines,Ian June Garces,Timothy Robin Teng
2007,Vietnam,Nigeria,Samson Olatunji Ale,Oluwaniyi Steve Dele
2007,Vietnam,Montenegro,Bozidar Scepanovic,Bozidar Scepanovic
2007,Vietnam,Cuba,Raúl Ochoa Rojas,
2007,Vietnam,Liechtenstein,Daniel Sprecher,
2007,Vietnam,Venezuela,Rafael Sánchez,Laura Vielma
2007,Vietnam,Puerto Rico,Luis Cáceres,Arturo Portnoy
2007,Vietnam,Saudi Arabia,Thamer Aleisa,Saleh Algamdi
2007,Vietnam,Chile,Hernan Burgos,Victor Cortes
2007,Vietnam,Bolivia,Jorge Raul Enriquez Cortez,
2008,Spain,People's Republic of China,Bin Xiong,Zhigang Feng
2008,Spain,Russian Federation,Nazar Agakhanov,Dmitry Tereshin
2008,Spain,United States of America,Zuming Feng,Razvan Gelca
2008,Spain,Republic of Korea,Seunghun Yi,Byeong Kweon Oh
2008,Spain,Islamic Republic of Iran,Mohammad Reza Razvan,Omid Naghshineh Arjmand
2008,Spain,Thailand,Paisan Nakmahachalasint,Utsanee Leerawat
2008,Spain,Democratic People's Republic of Korea,Yong Chol Ham,Yong Ho Kim
2008,Spain,Turkey,Azer Kerimov,Şahin Emrah
2008,Spain,Taiwan,Shou-Jen Hsiao,Shu-Chung Liu
2008,Spain,Hungary,József Pelikán,Sándor Dobos
2008,Spain,Japan,Yuji Ito,Shinichi Suzuki
2008,Spain,Vietnam,Hà Huy Khoái,Nguyễn Khắc Minh
2008,Spain,Poland,Michał Krych,Michał Pilipczuk
2008,Spain,Bulgaria,Emil Milanov Kolev,Nikolai Marinov Nikolov
2008,Spain,Ukraine,Sergiy Torba,Nataliia Prokopenko
2008,Spain,Brazil,Luciano Guimarães Monteiro De Castro,Carlos Yuzo Shine
2008,Spain,Peru,Emilio Gonzaga Ramírez,Mariano González Ulloa
2008,Spain,Romania,Radu Gologan,Dinu Şerbănescu
2008,Spain,Australia,Angelo Di Pasquale,Norman Do
2008,Spain,Germany,Eric Müller,Peter Scholze
2008,Spain,Serbia,Đorđe Krtinić,Dušan Đukić
2008,Spain,Canada,Felix Recio,Yufei Zhao
2008,Spain,United Kingdom,Geoff Smith,Ceri Fiddes
2008,Spain,Italy,Roberto Dvornicich,Massimo Gobbino
2008,Spain,Kazakhstan,Yerzhan Baissalov,Zaure Amanova
2008,Spain,Belarus,Igor Voronovich,Sergei Mazanik
2008,Spain,Israel,Shay Gueron,Eran Assaf
2008,Spain,Hong Kong,Tat Wing Leung,Mee Lin Luk
2008,Spain,Mongolia,Dashdorj Tserendorj,Battsengel Baasanjav
2008,Spain,France,Johan Yebbou,Pierre Bornsztein
2008,Spain,India,Venkatachala Belur Jana,Mahendra Datta
2008,Spain,Singapore,Yan Loi Wong,Teck Kian Teo
2008,Spain,Netherlands,Quintijn Puite,Birgit van Dalen
2008,Spain,Uzbekistan,Shuhrat Ismailov,Bakhtiyor Daniyarov
2008,Spain,Lithuania,Artūras Dubickas,Romualdas Kašuba
2008,Spain,Indonesia,Hery Susanto,Yudi Satria
2008,Spain,Mexico,Antonio Olivas Martínez,Hugo Villanueva Méndez
2008,Spain,Croatia,Željko Hanjš,Mea Bombardelli
2008,Spain,Argentina,Patricia Fauring,Flora Gutierrez
2008,Spain,Czech Republic,Karel Horák,Martin Panák
2008,Spain,Greece,Anargyros Fellouris,Theodoros Bolis
2008,Spain,Georgia,Larry Gogoladze,George Bareladze
2008,Spain,Spain,Felipe Gago Couso,Luis Hernández Corbato
2008,Spain,South Africa,Maciej Stankiewicz,Jacobus van Zyl
2008,Spain,Colombia,Federico Ardila,Angélica Osorno
2008,Spain,Slovakia,Vojtech Bálint,Tomáš Jurík
2008,Spain,Turkmenistan,Erol Aslan,Polat Chariyev
2008,Spain,Azerbaijan,Fuad Garayev,Umud Babashov
2008,Spain,Republic of Moldova,Valeriu Baltag,Valentina Ceapa
2008,Spain,Bosnia and Herzegovina,Boris Marjanović,Damir Hasić
2008,Spain,Slovenia,Gregor Dolinar,Irena Majcen
2008,Spain,Switzerland,Anna Devic,Thomas Huber
2008,Spain,Sweden,Paul Vaderlind,Victor Ufnarovski
2008,Spain,Denmark,Max Petersen,Ulrik Buchholtz
2008,Spain,Costa Rica,Mario Alberto Marín Sánchez,Ronald Bustamante Medina
2008,Spain,Malaysia,Daud Mohamad,Mat Rofa Ismail
2008,Spain,Austria,Robert Geretschläger,Heinrich Josef Gstöttner
2008,Spain,Norway,Dávid Kunszenti-Kovács,Pål Hermunn Johansen
2008,Spain,Belgium,Bart Windels,Philippe Niederkorn
2008,Spain,North Macedonia,Vesna Manova-Erakovik,Alekso Malcheski
2008,Spain,Luxembourg,Charles Leytem,Hsu Ming-Koon
2008,Spain,Tajikistan,Umed Karimov,Yusuf Balkash
2008,Spain,Latvia,Agnis Andžāns,Juris Škuškovniks
2008,Spain,Macau,Ieng Tak Leong,Lung Yam Wan
2008,Spain,Morocco,Abdelmoumen Med El Rhezzali,My Ahmed Moussaoui
2008,Spain,Armenia,Garnik Tonoyan,Tigran Margaryan
2008,Spain,Portugal,Gonçalo Gutierres,Alexander Kovacec
2008,Spain,Albania,Fatmir Hoxha,Artur Baxhaku
2008,Spain,Chile,Hernan Burgos,Victor Cortes
2008,Spain,Ireland,Thomas Laffey,Gordon Lessells
2008,Spain,Cyprus,Andreas Philippou,Theoklitos Paragyiou
2008,Spain,New Zealand,Michael Albert,Heather Rose Macbeth
2008,Spain,Estonia,Härmel Nestra,Indrek Zolk
2008,Spain,Finland,Matti Lehtinen,Kerkko Luosto
2008,Spain,Bangladesh,Mahbub Alam Majumdar,A A Munir Hasan
2008,Spain,Iceland,Auðun Sæmundsson,Ragna Briem
2008,Spain,El Salvador,Carlos Mauricio Canjura Linares,Riquelmi Salvador Cardona Fuentes
2008,Spain,Sri Lanka,Chanakya Janak Wijeratne,Kasun Tudugala
2008,Spain,Kyrgyzstan,Buras Boljiev,Alimbek Uraliev
2008,Spain,Trinidad and Tobago,Indra Haraksingh,Christopher Brereton
2008,Spain,Cuba,Eduardo Pérez Almarales,
2008,Spain,Ecuador,Jorge Chamaidan,Rubén Mauricio Villacís Infante
2008,Spain,Cambodia,Pheakdei Mauk,Sovann Suon
2008,Spain,Montenegro,David Kaljaj,Vladimir Jačimović
2008,Spain,Paraguay,Gabriela Gomez Pasquali,Christian Emilio Schaerer Serra
2008,Spain,Philippines,Ian June Luzon Garces,Julius Magalona Basilla
2008,Spain,Uruguay,Nelson Raúl Chocca Soubes,Leonardo Lois
2008,Spain,Tunisia,Seifeddine Snoussi,Mohamed Naceur Manai
2008,Spain,Honduras,Luis Armando Ramos Palacios,Mariano Eliseo Solorzano Alvarado
2008,Spain,Guatemala,Javier Ronquillo,Michaelle Alexander Perez Riz
2008,Spain,Liechtenstein,Daniel Sprecher,Markus Sprecher
2008,Spain,Venezuela,Rafael Sánchez Lamoneda,Laura Vielma Herrero
2008,Spain,Puerto Rico,Luis Fernando Cáceres Duque,Arturo Portnoy
2008,Spain,Saudi Arabia,Salah Alzaid,Abdullah Aljouiee
2008,Spain,Bolivia,Patricia Claudia Velásquez Garnica,Raumir Ronald Arnez Céspedes
2008,Spain,United Arab Emirates,Juma Rashed Ali Al Shamisi,Aaesha Jasem Ali Al Shamsi
2008,Spain,Kuwait,Ibrahim Alqattan,Ramadhan Dashti
2009,Germany,People's Republic of China,Hua-Wei Zhu,Gang-Song Leng
2009,Germany,Japan,Yuji Ito,Yasuharu Asai
2009,Germany,Russian Federation,Nazar Agakhanov,Dmitry Tereshin
2009,Germany,Republic of Korea,Myung-Hwan Kim,Byeong Kweon Oh
2009,Germany,Democratic People's Republic of Korea,Yong Chol Ham,Yong Ho Kim
2009,Germany,United States of America,Zuming Feng,Josh Nichols-Barrar
2009,Germany,Thailand,Paisan Nakmahachalasint,Nattaphan Kittisin
2009,Germany,Turkey,Okan Tekman,Azer Kerimov
2009,Germany,Germany,Eric Müller,Thomas Kalinowski
2009,Germany,Belarus,Igor Voronovich,Sergei Mazanik
2009,Germany,Italy,Roberto Dvornicich,Francesco Morandin
2009,Germany,Taiwan,Shu-Chung Liu,Shou-Jen Hsiao
2009,Germany,Romania,Radu Gologan,Mihai Bălună
2009,Germany,Ukraine,Bogdan Rublov,Nataliia Prokopenko
2009,Germany,Islamic Republic of Iran,Arash Rastegar,Omid Naghshineh Arjmand
2009,Germany,Vietnam,Hà Huy Khoái,Nguyễn Khắc Minh
2009,Germany,Brazil,Carlos Yuzo Shine,Ralph Costa Teixeira
2009,Germany,Canada,Dorette Pronk,David Arthur
2009,Germany,Bulgaria,Nikolai Nikolov,Peter Boyvalenkov
2009,Germany,Hungary,József Pelikán,Sándor Dobos
2009,Germany,United Kingdom,Geoff Smith,Vesna Kadelburg
2009,Germany,Serbia,Đorđe Krtinić,Dušan Đukić
2009,Germany,Australia,Angelo Di Pasquale,Ivan Guo
2009,Germany,Peru,Emilio Gonzaga Ramírez,Mariano Adán González Ulloa
2009,Germany,Georgia,Larry Gogoladze,George Bareladze
2009,Germany,Poland,Andrzej Komisarski,Przemysław Mazur
2009,Germany,Kazakhstan,Yerzhan Baisalov,Damir Yeliussizov
2009,Germany,India,Chudamani R Pranesachar,Zafar Ahmed
2009,Germany,Hong Kong,Tat Wing Leung,Yuk Kam Lau
